label,mean,median,variance,max,min,count
unknown,,,,,,0
request:01JTQPBNBXNZ3VBEGXC3ZM8A9E processing,31.19292200001655,31.19292200001655,,31.19292200001655,31.19292200001655,1
tts cached,38.585293800012,20.858135000104085,4436.101592760281,332.42396200000076,4.60067899999558,35
request:01JTQPBNBXNZ3VBEGXC3ZM8A9E ended,102.02396000002045,102.02396000002045,,102.02396000002045,102.02396000002045,1
request:01JTQPC31MW8RQSCTKZJRVBT7E processing,8.491244999982882,8.491244999982882,,8.491244999982882,8.491244999982882,1
request:01JTQPC31MW8RQSCTKZJRVBT7E ended,73.09242900001118,73.09242900001118,,73.09242900001118,73.09242900001118,1
request:01JTQPDSCD3TNQG11QPP4Z9D4E processing,10.310316999966744,10.310316999966744,,10.310316999966744,10.310316999966744,1
request:01JTQPDSCD3TNQG11QPP4Z9D4E ended,287.0567649999866,287.0567649999866,,287.0567649999866,287.0567649999866,1
request:01JTQPPWG608TCJ32ZP2WW48FB processing,18.365592999965884,18.365592999965884,,18.365592999965884,18.365592999965884,1
request:01JTQPPWG608TCJ32ZP2WW48FB ended,75.06696500000544,75.06696500000544,,75.06696500000544,75.06696500000544,1
sentiment_analysis.audio ,0.7118565616526698,0.4862910001538694,0.30258174895795464,3.252710000029765,0.26349900010973215,73
stt-convert-wavfile ,94.51927929789204,74.60419999994338,3512.726112139565,256.3960869999137,31.516256999922916,47
stt google,971.9418379041073,780.1006259999704,514295.1136462775,4498.68716500001,374.11794000002556,73
llm.embeddings openai/text-embedding-3-small,914.3397553023249,645.2374250000576,689574.7098084288,4697.88297799998,323.4005379998125,43
embeddings.search ,714.8567912051279,655.2907080000732,124714.62050227492,2219.865683999844,335.13312400016,39
llm.chat:chat ,1600.0712145789578,476.95186199992895,19308146.428412493,46004.16734700001,2.4667520000366494,114
llm.send:chat::7R6WT openai/gpt-4o,549.5257970000384,549.5257970000384,,549.5257970000384,549.5257970000384,1
explain.intent,,,,There is no specific task matching 'next question', and no previous task was proposed. Therefore, intent is not matched or triggered.,No TASKS defined or initiated by the assistant in the previous message.,0
avatar request,4878.20764020515,3552.907456999994,54116577.079893194,48885.754325999966,1358.2423010000493,39
explain.tools,,,,The user's response 'my managing editor' matches exactly with one of the tool descriptions provided, indicating a successful identification of the appropriate contact before covering a potentially violent political rally.,No tools match the user's message as the user hasn't specified what they want to start with, and it's not a tool request or specific inquiry.,0
explain.filter,,,,USER MESSAGE is a rephrasing of one of the TOOL descriptions provided, especially matches with "Approach the checkpoint cautiously, your ID and press card in hand.".,The USER MESSAGE is a direct response to a question in the context, matching partially with 'My managing editor' from provided TOOLS.,0
sentiment_analysis.text ,0.1329548205221027,0.06377900007646531,0.05800859681221523,1.5016580000519753,0.046242000069469213,39
request:01JTQPR85HAD6B5XJW5DPZ3Z7W cancelled,24518.5265390001,24518.5265390001,,24518.5265390001,24518.5265390001,1
llm.send:chat::0BFS3 openai/gpt-4o,375.88827999995556,375.88827999995556,,375.88827999995556,375.88827999995556,1
request:01JTQPY13BRB7P6BF0KZVJ3Y22 processing,22.035325999953784,22.035325999953784,,22.035325999953784,22.035325999953784,1
request:01JTQPY13BRB7P6BF0KZVJ3Y22 ended,66.87410799995996,66.87410799995996,,66.87410799995996,66.87410799995996,1
llm.send:chat::6H72R openai/gpt-4o,388.9403310001362,388.9403310001362,,388.9403310001362,388.9403310001362,1
Failed to provide an answer,,,,,,0
request:01JTQPZFVH740F2S24DYZNAM9N cancelled,19602.40587899997,19602.40587899997,,19602.40587899997,19602.40587899997,1
llm.send:chat::3FVWE openai/gpt-4o,415.9692319999449,415.9692319999449,,415.9692319999449,415.9692319999449,1
request:01JTQQ03047TFBHX62P13CKXGF cancelled,22121.855159999803,22121.855159999803,,22121.855159999803,22121.855159999803,1
llm.send:chat::6SK49 openai/gpt-4o,408.77827900019474,408.77827900019474,,408.77827900019474,408.77827900019474,1
llm.send:chat::NKXWZ openai/gpt-4o,1239.4442869999912,1239.4442869999912,,1239.4442869999912,1239.4442869999912,1
request:01JTQQ0RKFDKS2XSV6V4CT3XMH cancelled,37358.22201299993,37358.22201299993,,37358.22201299993,37358.22201299993,1
llm.send:chat::5W6AA openai/gpt-4o,482.3823140000459,482.3823140000459,,482.3823140000459,482.3823140000459,1
User completed quiz b4k4i5suq6vy98d3kr5mglu6,,,,,,0
request:01JTQQ1X314VGH88C28RDA2JV9 cancelled,7890.925019000191,7890.925019000191,,7890.925019000191,7890.925019000191,1
request:01JTQQ24SP28XW9QK07QWNC2V8 processing,6.28911399981007,6.28911399981007,,6.28911399981007,6.28911399981007,1
tts google,438.83268899997614,380.7305489999708,130875.00670617544,1352.3336079999572,111.1105390000157,11
request:01JTQQ24SP28XW9QK07QWNC2V8 ended,552.3114459998906,552.3114459998906,,552.3114459998906,552.3114459998906,1
llm.send:chat::SZ822 openai/gpt-4o,3757.5806740000844,3757.5806740000844,,3757.5806740000844,3757.5806740000844,1
llm.send:chat::12K7A openai/gpt-4o,5511.6495709999,5511.6495709999,,5511.6495709999,5511.6495709999,1
request:01JTQQ2DNDWPZG4C60BYT7S4Z3 processing,12.182136999908835,12.182136999908835,,12.182136999908835,12.182136999908835,1
request:01JTQQ2DNDWPZG4C60BYT7S4Z3 ended,54.870849000057206,54.870849000057206,,54.870849000057206,54.870849000057206,1
llm.send:chat::FHBKN openai/gpt-4o,435.6868480001576,435.6868480001576,,435.6868480001576,435.6868480001576,1
llm.send:chat::BGMR8 openai/gpt-4o,5377.811672999989,5377.811672999989,,5377.811672999989,5377.811672999989,1
llm.send:chat::8JH3Z openai/gpt-4o,4799.530126000056,4799.530126000056,,4799.530126000056,4799.530126000056,1
request:01JTQQ2VCQ12VMGP9MRZXZ1QFE cancelled,32439.225773999933,32439.225773999933,,32439.225773999933,32439.225773999933,1
llm.send:chat::682FD openai/gpt-4o,422.60382699989714,422.60382699989714,,422.60382699989714,422.60382699989714,1
request:01JTQQ3V2EK1G4KVZ8SEM8P9FZ cancelled,6305.815760000143,6305.815760000143,,6305.815760000143,6305.815760000143,1
request:01JTQQ417JGGGY4R2WJXEP67MF processing,7.998876999830827,7.998876999830827,,7.998876999830827,7.998876999830827,1
request:01JTQQ417JGGGY4R2WJXEP67MF ended,495.3163329998497,495.3163329998497,,495.3163329998497,495.3163329998497,1
llm.send:chat::MKBB6 openai/gpt-4o,2780.5124470000155,2780.5124470000155,,2780.5124470000155,2780.5124470000155,1
llm.send:chat::8GWFB openai/gpt-4o,3460.851888000034,3460.851888000034,,3460.851888000034,3460.851888000034,1
llm.send:chat::E07A7 openai/gpt-4o,3066.4389940002,3066.4389940002,,3066.4389940002,3066.4389940002,1
llm.send:chat::P6VFG openai/gpt-4o,429.21324499999173,429.21324499999173,,429.21324499999173,429.21324499999173,1
llm.send:chat::591XM openai/gpt-4o,2051.764306999976,2051.764306999976,,2051.764306999976,2051.764306999976,1
llm.send:chat::CA7J0 openai/gpt-4o,2158.445808000164,2158.445808000164,,2158.445808000164,2158.445808000164,1
request:01JTQQ56BWKJZ4R21K91KYQRMF cancelled,320.97080699983053,320.97080699983053,,320.97080699983053,320.97080699983053,1
request:01JTQQ56NXGBGGJH6GGCE9NRHW processing,16.996399000054225,16.996399000054225,,16.996399000054225,16.996399000054225,1
welcome ,773.4344977499641,885.0566199999485,230971.98057060884,1210.0736399999587,113.55111100000067,4
request:01JTQQ56NXGBGGJH6GGCE9NRHW ended,416.36140300007537,416.36140300007537,,416.36140300007537,416.36140300007537,1
request:01JTQQ59BJE3VF317B81AYNZHD cancelled,2026.1967989997938,2026.1967989997938,,2026.1967989997938,2026.1967989997938,1
llm.send:chat::R8ZBS openai/gpt-4o,320.43335100007243,320.43335100007243,,320.43335100007243,320.43335100007243,1
avatar end,2064.860102200089,1902.1645659999922,485695.1039021115,3219.224642000161,1361.1921630001161,5
request:01JTQQ5BAWKZFQ9515GQ82EN9P cancelled,5278.460780999856,5278.460780999856,,5278.460780999856,5278.460780999856,1
request:01JTQQ5GFX4JQBTDFEYA2FRE7N cancelled,1685.4451210000552,1685.4451210000552,,1685.4451210000552,1685.4451210000552,1
request:01JTQQ5J4MZQMDS0G798BQ1GRG cancelled,4856.434787000064,4856.434787000064,,4856.434787000064,4856.434787000064,1
request:01JTQQ4K1QY7G8WKRD9N3NJRCP cancelled,38991.95584900002,38991.95584900002,,38991.95584900002,38991.95584900002,1
request:01JTQQ5PWEJA36KKJFK6M1KHK7 cancelled,3177.067637,3177.067637,,3177.067637,3177.067637,1
llm.send:chat::K3GJF openai/gpt-4o,350.9395830000285,350.9395830000285,,350.9395830000285,350.9395830000285,1
llm.send:chat::FEGZ1 openai/gpt-4o,510.0987070000265,510.0987070000265,,510.0987070000265,510.0987070000265,1
request:01JTQQ5SZRG9YRDF65K4DK1DV3 cancelled,3063.89479400008,3063.89479400008,,3063.89479400008,3063.89479400008,1
request:01JTQQ5WZHWXD4XPHY0VW2A9MB cancelled,1827.708399000112,1827.708399000112,,1827.708399000112,1827.708399000112,1
request:01JTQQ5YRP25J0Y1XR9WJYG15C processing,15.239993999945,15.239993999945,,15.239993999945,15.239993999945,1
request:01JTQQ5YRP25J0Y1XR9WJYG15C ended,72.76847900007851,72.76847900007851,,72.76847900007851,72.76847900007851,1
request:01JTQQ5S47D5BZY1MYG1WZPPEW cancelled,6841.309811000014,6841.309811000014,,6841.309811000014,6841.309811000014,1
request:01JTQQ5ZT2WDMA1NWAHMYZRPW7 processing,9.05008800001815,9.05008800001815,,9.05008800001815,9.05008800001815,1
request:01JTQQ5ZT2WDMA1NWAHMYZRPW7 ended,141.60292800003663,141.60292800003663,,141.60292800003663,141.60292800003663,1
llm.send:chat::86PEJ openai/gpt-4o,3436.326908999821,3436.326908999821,,3436.326908999821,3436.326908999821,1
llm.send:chat::N45VA openai/gpt-4o,2455.865506999893,2455.865506999893,,2455.865506999893,2455.865506999893,1
request:01JTQQ5ZZX0CNED3F0BNRX8TBT cancelled,4071.2253129999153,4071.2253129999153,,4071.2253129999153,4071.2253129999153,1
llm.send:chat::GQF19 openai/gpt-4o,527.9447949999012,527.9447949999012,,527.9447949999012,527.9447949999012,1
llm.send:chat::03QX4 openai/gpt-4o,348.1002459998708,348.1002459998708,,348.1002459998708,348.1002459998708,1
request:01JTQQ63Z4SZ4GN44NPZN3S9VW cancelled,5893.948194999946,5893.948194999946,,5893.948194999946,5893.948194999946,1
avatar stream,3100.405574750155,3137.063225500169,20827.30697802851,3217.4813080001622,2910.01454000012,4
request:01JTQQ69QBYPG8KE8ZV2193MBM cancelled,2137.681743999943,2137.681743999943,,2137.681743999943,2137.681743999943,1
llm.send:chat::8CRQW openai/gpt-4o,2532.3048420001287,2532.3048420001287,,2532.3048420001287,2532.3048420001287,1
llm.send:chat::C7ZCG openai/gpt-4o,316.56573599996045,316.56573599996045,,316.56573599996045,316.56573599996045,1
request:01JTQQ627S5AS2YR17MZ55XN1F cancelled,14537.071833000053,14537.071833000053,,14537.071833000053,14537.071833000053,1
llm.send:chat::BPHG5 openai/gpt-4o,463.84036500006914,463.84036500006914,,463.84036500006914,463.84036500006914,1
request:01JTQQ6BT5EGAGC4WRKW4X139H cancelled,9397.89974799985,9397.89974799985,,9397.89974799985,9397.89974799985,1
llm.send:chat::A7878 openai/gpt-4o,3686.1060339999385,3686.1060339999385,,3686.1060339999385,3686.1060339999385,1
request:01JTQQ6MZW1YM5RGER1W00Q522 cancelled,12687.319695000071,12687.319695000071,,12687.319695000071,12687.319695000071,1
llm.send:chat::KMR07 openai/gpt-4o,310.8055949998088,310.8055949998088,,310.8055949998088,310.8055949998088,1
request:01JTQQ71CEHMMWVREW1KECCX6N cancelled,5956.770162999863,5956.770162999863,,5956.770162999863,5956.770162999863,1
request:01JTQQ776M45RC04B20R8WTBHW cancelled,2944.1483699998353,2944.1483699998353,,2944.1483699998353,2944.1483699998353,1
request:01JTQQ7A2NW5F7AP6H2G18AV89 cancelled,9948.029990000185,9948.029990000185,,9948.029990000185,9948.029990000185,1
request:01JTQQ7KSJCABXNXY3FH1N6XCD cancelled,8815.17990099988,8815.17990099988,,8815.17990099988,8815.17990099988,1
request:01JTQQ7WD2X602WJCQPM47KYS4 cancelled,5873.762125000125,5873.762125000125,,5873.762125000125,5873.762125000125,1
llm.send:chat::MEXJ2 openai/gpt-4o,344.0533660000656,344.0533660000656,,344.0533660000656,344.0533660000656,1
request:01JTQQ824N41EZQTS5PB5BCAPN cancelled,2350.664281999925,2350.664281999925,,2350.664281999925,2350.664281999925,1
request:01JTQQ84E5W6BMKBST53JSGECX cancelled,5209.968167999992,5209.968167999992,,5209.968167999992,5209.968167999992,1
request:01JTQQ89H07T0YWKDVVYNR16JX cancelled,21174.497617000015,21174.497617000015,,21174.497617000015,21174.497617000015,1
request:01JTQQ8Y6QJFEMEA30G2Q0EHJT cancelled,7520.859188999981,7520.859188999981,,7520.859188999981,7520.859188999981,1
request:01JTQQ95HSWF1MD4JBYFT2Y02G cancelled,4406.377067999914,4406.377067999914,,4406.377067999914,4406.377067999914,1
request:01JTQQ99VHAAQABR5BZMPXK3P1 cancelled,2502.2497439999133,2502.2497439999133,,2502.2497439999133,2502.2497439999133,1
request:01JTQQ9C9RH54VHQ8BGARPE5FJ cancelled,6232.17136700009,6232.17136700009,,6232.17136700009,6232.17136700009,1
request:01JTQQ9JCH7SJ0VP62VP8C12YS cancelled,3613.420601000078,3613.420601000078,,3613.420601000078,3613.420601000078,1
request:01JTQQ9NXGY492M6NXBXQ1XTJJ cancelled,2242.225260999985,2242.225260999985,,2242.225260999985,2242.225260999985,1
request:01JTQQ9R3KBCWKC3C8E6SF9E6R cancelled,10408.629944999935,10408.629944999935,,10408.629944999935,10408.629944999935,1
request:01JTQQA28WVNXCX17BZQQCRJDT cancelled,3230.1807329999283,3230.1807329999283,,3230.1807329999283,3230.1807329999283,1
request:01JTQQA5DXRRE34JEADSG49SR8 cancelled,11379.231697999872,11379.231697999872,,11379.231697999872,11379.231697999872,1
